iteration,Lift,passenger,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,param_32,param_33,param_34,param_35,param_36,param_37,param_38,param_39,param_40,param_41,param_42,param_43,param_44,param_45,param_46,param_47,param_48,param_49,param_50,param_51,param_52,param_53,param_54,param_55,param_56,param_57,param_58,param_59,param_60,param_61,param_62,param_63,param_64,param_65,param_66,param_67,param_68,param_69,param_70,param_71,param_72,param_73,param_74,param_75,param_76,param_77,param_78,param_79,param_80,param_81,param_82,param_83,param_84,param_85,param_86,param_87,param_88,param_89,param_90,param_91,param_92,param_93,param_94,param_95,param_96,param_97,param_98,param_99,param_100,param_101,param_102,param_103,param_104,param_105,param_106,param_107,param_108,param_109,param_110,param_111,param_112,param_113,param_114,param_115,param_116,param_117,param_118,param_119,param_120,param_121,param_122,param_123,param_124,param_125,param_126,param_127,param_128,param_129,param_130,param_131,param_132,param_133,param_134,param_135,param_136,param_137,param_138,param_139,param_140,param_141,param_142,param_143,param_144,param_145,param_146,param_147,param_148,param_149,param_150,param_151,param_152,param_153,param_154,param_155,param_156,param_157,param_158,param_159,param_160,param_161,param_162,param_163,param_164,param_165,param_166,param_167
1,1250542,162,0,0.033823333,0.064511797,0.085826173,0.112314411,-0.038381621,0.156252431,-0.02561255,0.023766374,0.099303906,-0.02070276,-0.106821047,0.03470504,-0.134467298,-0.030577022,0.059799234,-0.257471791,0.043087833,-0.170210208,0.008856639,71.95693771,-0.089092335,0.015890713,0.015890713,2,0.015871441,0.025039475,0.180434966,-0.065884594,0.06470441,0.10505579,0.016302909,0.027920634,0.047562633,-0.016978706,0.001275482,-0.142033225,0.121556353,-0.304694882,0.220923768,-0.454185108,0.133088048,-0.156063567,12.60436633,69.73341133,0.025461959,0.019593041,0.019593041,4,0.008428979,0.062017851,0.119557451,-0.025767711,0.161990312,-0.049177279,0.087982106,0.029643212,0.106070112,-0.014311413,-0.067513528,-0.019518339,-0.142052123,0.071848404,-0.025057808,-0.225911668,0.081213721,-0.115866367,29.39972802,68.9199099,0.65110156,0.015851713,0.015851713,6,0.034301584,0.078876166,-0.016440836,0.171708489,-0.042220213,0.094918824,0.033027101,0.049532957,0.062677566,-0.017900201,-0.042920996,0.037075806,-0.158610904,0.080740333,-0.080583723,-0.003931413,-0.037848166,-0.04003016,40.82499366,68.5451895,1.310442491,0.004096707,0.004096707,8,0.007576004,0.077531056,-0.013951911,0.095449319,0.02284558,0.050616564,0.056960937,0.103573903,0.052854518,-0.017924668,-0.080307889,0.052389876,-0.153661632,0.148851272,-0.212874255,0.10845434,-0.047592011,0.015440997,49.38952319,68.7629525,1.796759232,-0.001210722,-0.001210722,10,0.05996719,0.052425416,0.020101771,0.094739267,0.010034267,0.004234497,0.022281556,0.035060152,-0.000470553,-0.001304243,-0.079258811,0.084235344,-0.22068472,0.159677781,-0.23000656,0.100126356,-0.014632608,-0.025917398,55.06019433,69.76822873,2.013618287,-0.003539291,-0.003539291,14.18,0.008426056,0.071221857,0.014439441,0.10698188,-0.038121666,0.059760081,0.047727463,0.097317273,0.027828197,-0.058949218,-0.102601879,0.032712098,-0.178718518,0.136764337,-0.222857897,0.094641247,-0.041453867,0.000748696,66.74221855,71.77280706,2.872070757,-0.016524691,-0.016524691
2,1257975,130,0,0.023194239,0.063937946,0.040263275,0.111388535,-0.031158284,0.176506042,0.002246539,0.030975108,0.120307767,0.022233342,-0.097543339,0.041113104,-0.13679786,-0.013551091,0.063023496,-0.271890523,0.035846138,-0.182582038,0.076158034,72.04397411,-0.212512911,0.015890713,0.015890713,2,-0.000434934,-0.009447298,0.189092697,-0.043552669,0.061381051,0.083581953,0.004483031,0.055036797,0.036719361,-0.003925447,-0.000619975,-0.140275503,0.134281489,-0.283264792,0.225159949,-0.438386867,0.160061995,-0.15698689,12.70973802,69.90965947,0.082825816,0.019593041,0.019593041,4,0.026642383,0.031727533,0.090804764,-0.020426357,0.148554217,-0.06690499,0.080541019,0.031415135,0.056343398,0.013544142,-0.074695234,0.021025569,-0.109882556,0.057213522,-0.049355093,-0.228350338,0.093738673,-0.144177306,29.27668419,69.00581873,0.56751651,0.015851713,0.015851713,6,0.039420322,0.048869171,-0.039719381,0.141437356,-0.01250448,0.095515896,0.008077574,0.036118432,0.040798941,-0.001450422,-0.101156896,0.039426538,-0.155445599,0.072871874,-0.067621096,-0.001306809,-0.003986458,-0.039238075,40.83793626,68.5550677,1.437725581,0.004096707,0.004096707,8,0.031069292,0.053316207,-0.027105278,0.086315096,-0.016420684,0.057340942,0.049078238,0.084102831,0.016712306,0.000441589,-0.077922026,0.033496203,-0.19782793,0.135586526,-0.188251597,0.125656351,-0.071954041,0.005779583,49.46826306,68.77183619,1.711692098,-0.001210722,-0.001210722,10,0.004287748,0.086492287,0.021080676,0.087184299,0.00484676,0.013424941,0.036373589,0.082310973,0.004566922,0.004349974,-0.121593503,0.072893922,-0.222484133,0.140739254,-0.212685127,0.108327067,-0.06534004,0.01659338,54.99553178,69.77729193,2.11907298,-0.003539291,-0.003539291,14.18,0.04568731,0.041238543,-0.007936073,0.107412119,-0.013306377,0.061651858,0.010423648,0.073163036,0.00984645,-0.022953388,-0.052317804,0.051123392,-0.160538358,0.131929773,-0.185533597,0.100102096,-0.035067185,0.007959016,66.67049933,71.64246524,2.974747401,-0.016524691,-0.016524691
1,1222086,186,0,0.014630542,0.062072148,0.085619968,0.077384752,-0.078225403,0.168981494,0.028059413,-0.000780089,0.116555446,-0.02143649,-0.089988313,0.063827284,-0.134915019,-0.052486398,0.034835657,-0.257268289,0.054730903,-0.165218273,0.060424322,71.9171736,-0.036788848,0.015890713,0.015890713,2,0.01237342,0.032834404,0.21803457,-0.038311485,0.105368398,0.065698952,-0.008894716,0.041955872,0.090768257,-0.027882416,-0.012652397,-0.169384939,0.1178343,-0.282851546,0.238401122,-0.483054948,0.155545064,-0.17193384,12.72794446,69.83208975,0.151192282,0.019593041,0.019593041,4,0.005318651,0.023701513,0.082297158,-0.031260335,0.144486517,-0.013680135,0.073139094,0.006067722,0.088658142,0.006143559,-0.029112751,-0.007150781,-0.151480425,0.023705375,-0.019896504,-0.233095334,0.088828994,-0.138179468,29.33341709,68.97534856,0.58960762,0.015851713,0.015851713,6,0.023194337,0.066636989,-0.018007114,0.176175715,-0.030572082,0.072046702,0.030222847,0.035163629,0.069549747,0.00482008,-0.072713278,0.059041361,-0.137539886,0.071185393,-0.076354003,0.00293087,0.015236269,-0.043127303,40.80920519,68.67781507,1.399344313,0.004096707,0.004096707,8,0.003080512,0.025153811,-0.033732211,0.117938949,-0.022449166,0.092992791,0.058905862,0.091916599,0.034798123,0.009722052,-0.077846712,0.06397934,-0.186063584,0.167178721,-0.174216321,0.110334732,-0.021280761,0.00535404,49.45368432,68.80757597,1.794219388,-0.001210722,-0.001210722,10,0.003540157,0.106482432,-0.019227307,0.109372609,0.025002733,0.016811789,0.060554987,0.034046121,-0.0087134,-0.038323288,-0.122862414,0.075866588,-0.194902544,0.175417102,-0.20888397,0.117385916,-0.047398396,-0.025705885,55.08969528,69.70901465,2.013784047,-0.003539291,-0.003539291,14.18,0.00783422,0.033957718,-0.000288881,0.111533713,-0.000270879,0.019717281,0.038707461,0.06266674,0.015985407,-0.055862175,-0.075036635,0.070575429,-0.163975805,0.145493381,-0.229651309,0.092979577,-0.037326254,0.011018763,66.76592882,71.66214005,2.894178542,-0.016524691,-0.016524691
2,1292262,144,0,0.018289653,0.040814723,0.077077479,0.088490794,-0.038206566,0.135254295,0.015894108,0.032383582,0.092805606,0.007373502,-0.071688205,0.029325974,-0.091024393,0.003414954,0.076912515,-0.29220616,0.05274489,-0.169925172,0.09703235,72.01402447,-0.030039392,0.015890713,0.015890713,2,0.019621117,0.027118661,0.234666112,-0.057883355,0.108849121,0.058719172,0.01319042,0.058192638,0.056266395,-0.01933232,-0.000103716,-0.182891384,0.139276553,-0.247564598,0.2237696,-0.434505616,0.138201767,-0.2005152,12.56754749,69.89435895,0.097134483,0.019593041,0.019593041,4,0.040926761,0.018179327,0.118604446,-0.034492068,0.144749923,-0.027905811,0.1202759,0.03601816,0.097671452,-0.007633941,-0.083512103,0.004398445,-0.148987323,0.062353667,-0.045852325,-0.236867739,0.08783191,-0.115687122,29.29229236,68.94863304,0.482097264,0.015851713,0.015851713,6,0.03048718,0.043827812,-0.033405879,0.158519774,-0.06679292,0.119641108,0.007832049,0.067100075,0.051968778,0.013980316,-0.065363042,0.033855048,-0.112949719,0.075835583,-0.088345029,0.00671816,0.009518212,-0.042480604,40.97260415,68.55700806,1.431264165,0.004096707,0.004096707,8,0.014394236,0.023324896,-0.000820427,0.095531615,0.007800601,0.053222933,0.057356241,0.094839591,0.062837659,-0.035221619,-0.07897108,0.037632881,-0.160218902,0.142722933,-0.184595151,0.129302437,-0.042873156,0.000425249,49.53760971,68.8452593,1.791102289,-0.001210722,-0.001210722,10,0.046365754,0.062308108,-0.006506294,0.104887007,0.034508071,0.013803869,0.04702894,0.04246978,-0.005158524,-0.005623765,-0.078340323,0.086802212,-0.2266328,0.187489261,-0.207065975,0.073960696,-0.044760988,-0.025284737,55.00159144,69.83776457,2.12327517,-0.003539291,-0.003539291,14.18,0.03681337,0.073053508,-0.004332613,0.11102633,-0.015037392,0.034382555,0.021842085,0.091677977,0.053505915,-0.05540153,-0.077627354,0.052926825,-0.189802653,0.125224454,-0.201969498,0.070317741,-0.01870159,0.034070462,66.71530926,71.76929088,2.917853797,-0.016524691,-0.016524691
3,1203047,138,0,0.031043191,0.080024486,0.060688176,0.081518569,-0.085805337,0.159919206,-0.012292723,0.002508138,0.131940737,-0.032877727,-0.09905617,0.025266616,-0.137239015,-0.045596596,0.091408426,-0.277238987,0.03026718,-0.141416012,-0.00315881,71.98556737,-0.033107174,0.015890713,0.015890713,2,0.016162652,-0.014446777,0.221654325,-0.042408999,0.062559882,0.071413939,-0.023001713,0.017869229,0.08217135,0.003471708,-0.020901587,-0.166603504,0.142937246,-0.295725904,0.223959599,-0.450046247,0.121073112,-0.190455097,12.58492699,69.76960759,0.020584347,0.019593041,0.019593041,4,0.019447107,0.068050178,0.094739671,-0.01754326,0.13586558,-0.054807652,0.100141144,0.026236549,0.068532711,-0.023003371,-0.066040888,-0.0023734,-0.130075287,0.030527716,-0.032295791,-0.242297248,0.090298146,-0.119053649,29.2522011,68.95437175,0.634850982,0.015851713,0.015851713,6,0.005201923,0.088445929,-0.019710022,0.165169661,-0.021107315,0.102991938,0.023553266,0.045585183,0.033653763,-0.020788464,-0.076366852,0.017942141,-0.130478658,0.099678212,-0.088410288,-0.030576413,-0.037297706,-0.035444669,40.87443223,68.55200085,1.288003837,0.004096707,0.004096707,8,-0.003985475,0.05067407,-0.008886919,0.098492146,-0.025865815,0.080831698,0.05041933,0.097678527,0.040539296,-0.041125745,-0.046865825,0.036173455,-0.170936288,0.130506839,-0.176472256,0.079790135,-0.018367137,0.045515575,49.45066672,68.80440897,1.645242474,-0.001210722,-0.001210722,10,0.021296702,0.098166205,0.017316524,0.115624882,-0.002804957,0.039009351,0.023189304,0.034036517,0.015528497,-0.037633937,-0.072924945,0.089477046,-0.223927293,0.181662509,-0.207444387,0.098425573,-0.061477093,-0.005795411,55.07760037,69.81457047,2.106024683,-0.003539291,-0.003539291,14.18,0.003072694,0.054006273,0.010511383,0.103018525,-2.84E-05,0.051350095,0.006059233,0.070280594,0.042479165,-0.022549675,-0.049482746,0.047164844,-0.196564185,0.136331356,-0.198573485,0.069593373,-0.003373661,0.043099948,66.64006039,71.72546074,2.840992611,-0.016524691,-0.016524691
4,1253031,140,0,-0.008740885,0.07910744,0.064586691,0.103755246,-0.084664324,0.152661408,-6.13E-05,0.042096957,0.115348418,-0.000256155,-0.125674107,0.034471967,-0.123739232,-0.021270517,0.062417608,-0.250518816,0.046363315,-0.184123703,0.052378993,71.87792686,-0.054106069,0.015890713,0.015890713,2,-0.010724763,0.030168251,0.229163081,-0.050995673,0.069943734,0.05623456,0.003947373,0.064196086,0.06088794,-0.018710402,0.011585452,-0.179286832,0.137961212,-0.27491287,0.247935015,-0.448218998,0.111283292,-0.205403964,12.65954227,69.87351029,0.041085424,0.019593041,0.019593041,4,0.020759537,0.055842884,0.125054412,-0.042201585,0.147046884,-0.035471482,0.078931286,-0.002518753,0.103341343,0.005071841,-0.067112579,-0.012918882,-0.118492111,0.06876754,-0.02750908,-0.222750738,0.081170982,-0.114109327,29.25402697,68.85194889,0.479595359,0.015851713,0.015851713,6,0.03654241,0.088165009,-0.008136857,0.168439437,-0.058832423,0.106059688,0.02789761,0.066275502,0.026167231,-0.003090023,-0.099452583,0.062046668,-0.129430964,0.074243998,-0.093439803,-0.017555954,-0.029106279,-0.05798936,40.83345388,68.52614507,1.460544339,0.004096707,0.004096707,8,0.011148815,0.022566962,-0.016214005,0.098959242,-0.034764122,0.060107997,0.040575315,0.067264092,0.036354223,-0.020603042,-0.084586413,0.034247181,-0.148483569,0.116869653,-0.232403771,0.102382914,-0.060518715,0.048225232,49.47847978,68.77447483,1.735748037,-0.001210722,-0.001210722,10,0.039783239,0.068289654,-0.006290134,0.070170642,-0.011841736,0.061735318,0.036589397,0.02743551,0.04594562,-0.047641011,-0.09524915,0.075072046,-0.170017482,0.149440662,-0.224496093,0.096553915,-0.058444257,0.023987596,54.93063743,69.77501404,2.143552245,-0.003539291,-0.003539291,14.18,0.024870967,0.08154171,0.007648189,0.103411236,-0.038992209,0.041246067,0.014855957,0.093067388,0.029637878,-0.017892323,-0.08846245,0.029082284,-0.194121796,0.149963501,-0.219290964,0.126489613,-0.011732665,0.032874672,66.77950146,71.66340292,2.961659733,-0.016524691,-0.016524691
5,1235441,120,0,0.023809947,0.08931291,0.069471197,0.109263036,-0.029009977,0.156088144,-0.015152939,-0.011139927,0.088741199,-0.015507119,-0.068831856,0.061345302,-0.091079774,-0.035742828,0.079515257,-0.264142943,0.076802135,-0.136188789,0.042619988,71.98366108,-0.196765556,0.015890713,0.015890713,2,0.024083828,-0.003736062,0.198790479,-0.059356064,0.098753013,0.052233375,-0.008922254,0.023566679,0.069878524,-0.031665151,-0.019768251,-0.146505341,0.148787875,-0.300191536,0.250940835,-0.464991654,0.141079588,-0.198992235,12.64618801,69.86859979,0.164253795,0.019593041,0.019593041,4,0.027884246,0.063048092,0.097438831,-0.01132606,0.126880958,-0.068025564,0.064548727,0.014694651,0.069031232,0.003530852,-0.046290978,-0.000592253,-0.137901861,0.045757892,-0.034837236,-0.235810292,0.06528602,-0.163168573,29.38357812,68.94879341,0.659877054,0.015851713,0.015851713,6,0.041092125,0.074451451,-0.028053017,0.140972326,-0.031477048,0.086595287,0.050735479,0.032816026,0.042255774,0.003256109,-0.064785498,0.068344154,-0.158645077,0.044642688,-0.086652344,-0.044669973,-0.003618422,-0.066017407,40.78657496,68.65502532,1.380205919,0.004096707,0.004096707,8,0.040772092,0.055144733,-0.035080284,0.102570325,-0.032086322,0.077164505,0.008099821,0.077763513,0.02051408,-0.022976507,-0.077687931,0.081481897,-0.190482014,0.162341798,-0.232372976,0.082604352,-0.015755317,0.024942566,49.52143242,68.70438085,1.701686172,-0.001210722,-0.001210722,10,0.014793012,0.081213817,0.003480842,0.076730684,0.034418296,0.021408201,0.037669539,0.048452542,0.008714317,0.005575396,-0.122714296,0.078510054,-0.190571138,0.183919108,-0.194706454,0.065217051,-0.053458478,0.007154516,55.10353153,69.83208372,2.043171346,-0.003539291,-0.003539291,14.18,0.027554166,0.043935574,-0.011845287,0.131472365,-0.026937199,0.05247346,0.047522567,0.092229472,0.0155384,-0.002819207,-0.09212595,0.024991714,-0.188205527,0.164520764,-0.188230234,0.093719136,-0.043027993,0.012780869,66.64978774,71.82386774,2.923430254,-0.016524691,-0.016524691
6,1226408,124,0,0.019478747,0.066425952,0.096078762,0.095226657,-0.054074068,0.177554611,0.014670636,0.01980952,0.091577867,-0.002005162,-0.075968656,0.03267735,-0.104179893,-0.02949494,0.076774885,-0.288897569,0.03358032,-0.177063554,0.020339939,71.88656789,-0.031960316,0.015890713,0.015890713,2,0.031754749,0.034706571,0.186369877,-0.055391918,0.065054007,0.059673271,0.027772309,0.030139207,0.076797678,-0.030510928,0.037208157,-0.145381258,0.105718359,-0.286836375,0.250243871,-0.434487991,0.141988211,-0.203557486,12.59576582,69.86119658,0.13150419,0.019593041,0.019593041,4,0.028297159,0.046789047,0.080311007,-0.062946744,0.122289543,-0.064890094,0.115102562,0.023145895,0.098676754,0.007257354,-0.04247805,0.013620309,-0.150139847,0.056332655,-0.055065189,-0.219465766,0.062309978,-0.167550822,29.35566653,68.86934918,0.55524309,0.015851713,0.015851713,6,0.00848652,0.08280665,0.010593792,0.131494918,-0.022112255,0.106324049,0.033469643,0.056547216,0.056689781,0.01741057,-0.051620594,0.033081383,-0.122282525,0.055047545,-0.125749907,-0.020039865,-0.017042801,-0.052498645,40.84681658,68.62306839,1.447033836,0.004096707,0.004096707,8,-0.00086003,0.076458732,-0.010674228,0.109337439,0.020045305,0.077108142,0.022248456,0.06407606,0.023987865,-0.010392816,-0.060443268,0.077168716,-0.165624019,0.115259289,-0.193164033,0.087346762,-0.026255432,0.006306851,49.49687186,68.89248517,1.781325234,-0.001210722,-0.001210722,10,0.00666432,0.103052103,0.010129707,0.064767727,0.03912983,0.004203363,0.069540331,0.045198031,0.033250208,-0.014628216,-0.111615758,0.068992001,-0.210811971,0.161974081,-0.179805145,0.086795998,-0.027911161,-0.018738293,55.00618522,69.75178318,2.166696184,-0.003539291,-0.003539291,14.18,0.016899791,0.036339205,0.006173098,0.108620583,-0.025680166,0.046814514,0.037455191,0.07374098,0.040654536,-0.054392538,-0.076025405,0.029540343,-0.19075634,0.11936051,-0.192294886,0.126970267,-0.010350188,0.020870301,66.82130409,71.74700155,3.038717578,-0.016524691,-0.016524691
7,1219744,120,0,0.012018011,0.037184321,0.047576434,0.117260497,-0.046065631,0.131503035,-0.006383943,0.033350053,0.095862583,-0.015815689,-0.124225631,0.00722201,-0.112779891,-0.021332189,0.087104255,-0.247302428,0.054887929,-0.172147225,0.048625418,71.87337043,-0.199072302,0.015890713,0.015890713,2,0.017631634,0.013980398,0.18259388,-0.06631811,0.069484007,0.085516979,-0.023714212,0.025679406,0.040463736,-0.019238784,0.017272344,-0.177656605,0.116885373,-0.287088215,0.222842184,-0.424010347,0.160601647,-0.157368884,12.62853023,69.73535644,0.136743689,0.019593041,0.019593041,4,0.037049794,0.02052158,0.094192691,-0.049229944,0.111528222,-0.038281001,0.109467442,-0.004743669,0.061353235,-0.00899812,-0.038020298,-0.002206083,-0.126776431,0.076645585,-0.057375046,-0.228064181,0.077811619,-0.160034205,29.29855346,69.04082005,0.523753659,0.015851713,0.015851713,6,0.001070367,0.044481371,-0.020031665,0.131335312,-0.025290723,0.11522448,0.030820839,0.017865334,0.033148341,-0.001937485,-0.100597258,0.042096979,-0.152108004,0.076934033,-0.114587792,0.008336056,-0.003564852,-0.049624258,40.81442754,68.48961345,1.395448042,0.004096707,0.004096707,8,0.029664646,0.037775749,0.01660339,0.08991137,-0.026327131,0.094285468,0.014055695,0.101146935,0.013984227,-0.008317872,-0.098020007,0.069090723,-0.184946713,0.166675157,-0.230644926,0.088811421,-0.035222898,0.012976047,49.37894628,68.76644758,1.620743058,-0.001210722,-0.001210722,10,0.025542349,0.079446691,0.010424443,0.069496002,-0.009811979,0.046862982,0.038429345,0.026632951,0.045513368,-0.042172367,-0.121644865,0.090267846,-0.196415435,0.178904438,-0.191814581,0.099697996,-0.034600038,0.032103323,54.97496492,69.8158278,2.026334702,-0.003539291,-0.003539291,14.18,0.039226511,0.036926125,0.01006838,0.129937607,-0.039161061,0.066487756,0.040960844,0.080679108,0.059741954,-0.044308465,-0.070322002,0.064986265,-0.183670449,0.127075159,-0.213438711,0.114866382,-0.016972273,0.018226469,66.82608157,71.7034649,2.887393688,-0.016524691,-0.016524691
8,1240528,168,0,0.030190445,0.068462133,0.051074254,0.087094345,-0.038457239,0.141503014,0.002270194,0.018538387,0.090643851,-0.009912864,-0.120668168,0.017311839,-0.131855972,-0.040833372,0.078499494,-0.238013721,0.035776935,-0.147372504,0.09007288,72.04549555,-0.072115864,0.015890713,0.015890713,2,0.025312547,0.018464373,0.231723656,-0.077764999,0.066732044,0.070189633,0.029252167,0.061303859,0.090309844,0.005381765,-0.011316496,-0.185479357,0.104751592,-0.291439817,0.258552391,-0.454760279,0.123925674,-0.162800348,12.53507318,69.75615359,0.090156817,0.019593041,0.019593041,4,0.028942703,0.036894674,0.114921697,-0.01255101,0.147671611,-0.049995979,0.097213616,0.03055187,0.079892606,-0.027973816,-0.048926755,0.000496292,-0.152804651,0.042386628,-0.023863605,-0.197080626,0.066517541,-0.115837368,29.25314774,68.85881145,0.659265555,0.015851713,0.015851713,6,0.044117929,0.070157543,-0.046827706,0.126800576,-0.036284085,0.084982147,0.00623983,0.033783583,0.080412136,0.004739049,-0.071211209,0.071951861,-0.154980126,0.089039968,-0.12473365,0.006185887,0.003885361,-0.041660977,40.94890716,68.57784897,1.390409217,0.004096707,0.004096707,8,0.000433016,0.047596773,0.015415852,0.092297407,0.019062405,0.087882009,0.03754505,0.11305669,0.021358333,-0.001514055,-0.077499903,0.030731097,-0.184672711,0.16527494,-0.227664439,0.100461599,-0.028264309,0.003714598,49.46420212,68.8218372,1.771818791,-0.001210722,-0.001210722,10,0.02945977,0.077997376,0.004459977,0.084513003,0.006027962,0.047015842,0.021389091,0.075264572,0.020527225,-0.024380524,-0.107023999,0.104418435,-0.201935567,0.171259419,-0.213722608,0.110530486,-0.022902769,-0.024345258,55.00851122,69.84276136,2.135267754,-0.003539291,-0.003539291,14.18,0.024570771,0.04668406,-0.022408122,0.11455866,0.013102675,0.031299571,0.018648713,0.052595134,0.040411835,-0.004784978,-0.080296423,0.063062399,-0.156050691,0.136764665,-0.175419761,0.070881891,-0.037371306,0.013861825,66.63779358,71.80598989,3.027550647,-0.016524691,-0.016524691
