TITLE     = ""
VARIABLES = "V1"
"V3"
ZONE T="Slice: Y=6"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=130, Elements=128, ZONETYPE=FELineSeg
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.928662109E+01 1.751371622E+00
 3.978274536E+01 1.788862228E+00
 4.028516388E+01 1.819782972E+00
 4.078834534E+01 1.850129008E+00
 4.121553040E+01 1.874728680E+00
 4.129116058E+01 1.879101634E+00
 4.178945923E+01 1.905989051E+00
 4.228838730E+01 1.930613875E+00
 4.278797150E+01 1.952946424E+00
 4.328816605E+01 1.973025680E+00
 4.378895187E+01 1.990899920E+00
 4.429030991E+01 2.006687164E+00
 4.479215622E+01 2.020551205E+00
 4.529450989E+01 2.032694578E+00
 4.579730225E+01 2.043339252E+00
 4.630049133E+01 2.052701712E+00
 4.680406952E+01 2.060948372E+00
 4.730795670E+01 2.068215609E+00
 4.781216431E+01 2.074614763E+00
 4.821381378E+01 2.079077244E+00
 4.831569290E+01 2.080186367E+00
 4.881584167E+01 2.084850311E+00
 4.931639862E+01 2.088844061E+00
 4.981730270E+01 2.092209816E+00
 5.031857300E+01 2.094983816E+00
 5.082017136E+01 2.097200394E+00
 5.132207489E+01 2.098894358E+00
 5.182427979E+01 2.100101233E+00
 5.232672119E+01 2.100857258E+00
 5.282942581E+01 2.101190567E+00
 5.333234787E+01 2.101132393E+00
 5.383546829E+01 2.100715876E+00
 5.433879089E+01 2.099976778E+00
 5.484225082E+01 2.098949432E+00
 5.534587097E+01 2.097661018E+00
 5.584960938E+01 2.096120834E+00
 5.599061966E+01 2.095603228E+00
 5.635118484E+01 2.094091415E+00
 5.685212326E+01 2.091721058E+00
 5.735328674E+01 2.089079857E+00
 5.785470963E+01 2.086126804E+00
 5.835634995E+01 2.082801104E+00
 5.885818100E+01 2.079016924E+00
 5.936022568E+01 2.074669838E+00
 5.986239243E+01 2.069642067E+00
 6.036473083E+01 2.063803673E+00
 6.086718369E+01 2.057019949E+00
 6.136972427E+01 2.049154520E+00
 6.187237167E+01 2.040074825E+00
 6.237503052E+01 2.029685974E+00
 6.287774277E+01 2.017938614E+00
 6.338044739E+01 2.004835844E+00
 6.388312149E+01 1.990438700E+00
 6.438577271E+01 1.974859476E+00
 6.488831329E+01 1.958238244E+00
 6.511234283E+01 1.950444221E+00
 6.538999939E+01 1.940526843E+00
 6.589110565E+01 1.922042012E+00
 6.639228058E+01 1.903277636E+00
 6.689356995E+01 1.884554029E+00
 6.739492798E+01 1.866197467E+00
 6.789639282E+01 1.848521590E+00
 6.839797211E+01 1.831825137E+00
 6.889965820E+01 1.816402316E+00
 6.940129852E+01 1.802589536E+00
 3.928662109E+01 1.751371622E+00
 3.978247833E+01 1.727400780E+00
 4.028480911E+01 1.708042145E+00
 4.078790665E+01 1.686422467E+00
 4.124436951E+01 1.665719509E+00
 4.129102707E+01 1.663556457E+00
 4.178935623E+01 1.640347242E+00
 4.228837967E+01 1.617838979E+00
 4.278804779E+01 1.596678615E+00
 4.328834915E+01 1.577298760E+00
 4.378923798E+01 1.559975147E+00
 4.429068375E+01 1.544853330E+00
 4.479264450E+01 1.531971335E+00
 4.529507828E+01 1.521281123E+00
 4.579794693E+01 1.512668967E+00
 4.630121613E+01 1.505979538E+00
 4.680484772E+01 1.501049280E+00
 4.730881500E+01 1.497712374E+00
 4.781308365E+01 1.495810986E+00
 4.831762695E+01 1.495198846E+00
 4.832392120E+01 1.495204926E+00
 4.881789780E+01 1.495192647E+00
 4.931850815E+01 1.496218801E+00
 4.981948853E+01 1.498204112E+00
 5.032081604E+01 1.501083612E+00
 5.082247162E+01 1.504807115E+00
 5.132444000E+01 1.509335637E+00
 5.182668686E+01 1.514637351E+00
 5.232919693E+01 1.520685434E+00
 5.283195114E+01 1.527459025E+00
 5.333492661E+01 1.534935951E+00
 5.383810806E+01 1.543093920E+00
 5.434146500E+01 1.551904678E+00
 5.484498978E+01 1.561336994E+00
 5.534865952E+01 1.571354389E+00
 5.585245132E+01 1.581914544E+00
 5.612919235E+01 1.587966800E+00
 5.635492325E+01 1.592648983E+00
 5.685586548E+01 1.603456497E+00
 5.735705185E+01 1.614700675E+00
 5.785847473E+01 1.626333714E+00
 5.836011124E+01 1.638303518E+00
 5.886194611E+01 1.650548577E+00
 5.936395645E+01 1.662998438E+00
 5.986611938E+01 1.675574303E+00
 6.036841202E+01 1.688188672E+00
 6.087080765E+01 1.700745940E+00
 6.137328720E+01 1.713138461E+00
 6.187581635E+01 1.725245237E+00
 6.237836838E+01 1.736935735E+00
 6.288091660E+01 1.748073936E+00
 6.338343048E+01 1.758523107E+00
 6.388587952E+01 1.768147349E+00
 6.438824463E+01 1.776820064E+00
 6.489048767E+01 1.784393549E+00
 6.518396759E+01 1.788080454E+00
 6.539202118E+01 1.790437222E+00
 6.589271545E+01 1.794817805E+00
 6.639348602E+01 1.798001170E+00
 6.689434814E+01 1.800086021E+00
 6.739533234E+01 1.801258087E+00
 6.789648438E+01 1.801787853E+00
 6.839785767E+01 1.802004218E+00
 6.889950562E+01 1.802222252E+00
 6.940129852E+01 1.802589536E+00
 66 67
 67 68
