TITLE     = "CFD++ results at NT=2400, TAU=0.000000"
VARIABLES = "X"
"dp/p"
ZONE T="Extracted Points"
 STRANDID=0, SOLUTIONTIME=0
 I=973, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
-0.10800000E+02   0.19001121E-04
-0.10571662E+02   0.19001121E-04
-0.10343324E+02   0.19001121E-04
-0.10114986E+02   0.19001121E-04
-0.98866481E+01   0.19001121E-04
-0.96583102E+01   0.19001121E-04
-0.94299722E+01   0.19001121E-04
-0.92016343E+01   0.19001121E-04
-0.89732963E+01   0.19001121E-04
-0.87449583E+01   0.19001121E-04
-0.85166204E+01   0.19001121E-04
-0.82882824E+01   0.19001121E-04
-0.80599444E+01   0.19001121E-04
-0.78316065E+01   0.19001121E-04
-0.76032685E+01   0.19001121E-04
-0.73749306E+01   0.19001121E-04
-0.71465926E+01   0.19001121E-04
-0.69182546E+01   0.19001121E-04
-0.66899167E+01   0.19001121E-04
-0.64615787E+01   0.19001121E-04
-0.62332407E+01   0.19001121E-04
-0.60049028E+01   0.19001121E-04
-0.57765648E+01   0.19001121E-04
-0.55482269E+01   0.19001121E-04
-0.53198889E+01   0.19001121E-04
-0.50915509E+01   0.19001121E-04
-0.48632130E+01   0.19001121E-04
-0.46348750E+01   0.19001121E-04
-0.44065370E+01   0.19001121E-04
-0.41781991E+01   0.19001121E-04
-0.39498611E+01   0.19001121E-04
-0.37215231E+01   0.19001121E-04
-0.34931852E+01   0.19001121E-04
-0.32648472E+01   0.19001121E-04
-0.30365093E+01   0.19001121E-04
-0.28081713E+01   0.19001121E-04
-0.25798333E+01   0.19001121E-04
-0.23514954E+01   0.19001121E-04
-0.21231574E+01   0.19001121E-04
-0.18948194E+01   0.19001121E-04
-0.16664815E+01   0.19001121E-04
-0.14381435E+01   0.19001121E-04
-0.12098056E+01   0.19001121E-04
-0.98146759E+00   0.19001121E-04
-0.75312963E+00   0.19001121E-04
-0.52479167E+00   0.19001121E-04
-0.29645370E+00   0.19001121E-04
-0.68115741E-01   0.19001121E-04
 0.16022222E+00   0.20449468E-04
 0.38856019E+00   0.22513555E-04
 0.61689815E+00   0.42654644E-03
 0.84523611E+00   0.13877173E-02
 0.10735741E+01   0.23488881E-02
 0.13019120E+01   0.33100589E-02
 0.15302500E+01   0.42712297E-02
 0.17585880E+01   0.52324005E-02
 0.19869259E+01   0.61935713E-02
 0.22152639E+01   0.71547421E-02
 0.24436019E+01   0.81159129E-02
 0.26719398E+01   0.90770837E-02
 0.29002778E+01   0.10038255E-01
 0.31286157E+01   0.10994521E-01
 0.33569537E+01   0.10853286E-01
 0.35852917E+01   0.10712050E-01
 0.38136296E+01   0.10570815E-01
 0.40419676E+01   0.10429579E-01
 0.42703056E+01   0.10288344E-01
 0.44986435E+01   0.10147108E-01
 0.47269815E+01   0.10005873E-01
 0.49553194E+01   0.98646371E-02
 0.51836574E+01   0.97234016E-02
 0.54119954E+01   0.95821660E-02
 0.56403333E+01   0.94409305E-02
 0.58686713E+01   0.92996950E-02
 0.60970093E+01   0.91584594E-02
 0.63253472E+01   0.90172239E-02
 0.65536852E+01   0.88759884E-02
 0.67820231E+01   0.87347528E-02
 0.70103611E+01   0.85935173E-02
 0.72386991E+01   0.84522818E-02
 0.74670370E+01   0.83110462E-02
 0.76953750E+01   0.81698107E-02
 0.79237130E+01   0.80285751E-02
 0.81520509E+01   0.78873396E-02
 0.83803889E+01   0.77461041E-02
 0.86087269E+01   0.76048685E-02
 0.88370648E+01   0.74636330E-02
 0.90654028E+01   0.73223975E-02
 0.92937407E+01   0.71811619E-02
 0.95220787E+01   0.70399264E-02
 0.97504167E+01   0.68986909E-02
 0.99787546E+01   0.67574553E-02
 0.10207093E+02   0.66162198E-02
 0.10435431E+02   0.64749843E-02
 0.10663769E+02   0.63337487E-02
 0.10892106E+02   0.61925132E-02
 0.11120444E+02   0.60512777E-02
 0.11348782E+02   0.59100421E-02
 0.11577120E+02   0.57688066E-02
 0.11805458E+02   0.56275711E-02
 0.12033796E+02   0.54863355E-02
 0.12262134E+02   0.53451000E-02
 0.12490472E+02   0.52038645E-02
 0.12718810E+02   0.50626289E-02
 0.12947148E+02   0.49213934E-02
 0.13175486E+02   0.49379868E-02
 0.13403824E+02   0.50470417E-02
 0.13632162E+02   0.51560966E-02
 0.13860500E+02   0.52651514E-02
 0.14088838E+02   0.53742063E-02
 0.14317176E+02   0.54832612E-02
 0.14545514E+02   0.55923161E-02
 0.14773852E+02   0.57013709E-02
 0.15002190E+02   0.58104258E-02
 0.15230528E+02   0.59194807E-02
 0.15458866E+02   0.60285356E-02
 0.15687204E+02   0.61375904E-02
 0.15915542E+02   0.62466453E-02
 0.16143880E+02   0.63557002E-02
 0.16372218E+02   0.64647551E-02
 0.16600556E+02   0.65738100E-02
 0.16828894E+02   0.66828648E-02
 0.17057231E+02   0.67919197E-02
 0.17285569E+02   0.69009746E-02
 0.17513907E+02   0.70100295E-02
 0.17742245E+02   0.71190843E-02
 0.17970583E+02   0.72281392E-02
 0.18198921E+02   0.73371941E-02
 0.18427259E+02   0.74462490E-02
 0.18655597E+02   0.75553038E-02
 0.18883935E+02   0.76643587E-02
 0.19112273E+02   0.77734136E-02
 0.19340611E+02   0.78824685E-02
 0.19568949E+02   0.79915233E-02
 0.19797287E+02   0.80488739E-02
 0.20025625E+02   0.80592051E-02
 0.20253963E+02   0.80695363E-02
 0.20482301E+02   0.80798676E-02
 0.20710639E+02   0.80901988E-02
 0.20938977E+02   0.81005300E-02
 0.21167315E+02   0.81108613E-02
 0.21395653E+02   0.81211925E-02
 0.21623991E+02   0.81315237E-02
 0.21852329E+02   0.81418550E-02
 0.22080667E+02   0.81521862E-02
 0.22309005E+02   0.81625174E-02
 0.22537343E+02   0.81728487E-02
 0.22765681E+02   0.81831799E-02
 0.22994019E+02   0.81935111E-02
 0.23222356E+02   0.82038424E-02
 0.23450694E+02   0.82141736E-02
 0.23679032E+02   0.82245048E-02
 0.23907370E+02   0.82348361E-02
 0.24135708E+02   0.82451673E-02
 0.24364046E+02   0.82554985E-02
 0.24592384E+02   0.82658298E-02
 0.24820722E+02   0.82761610E-02
 0.25049060E+02   0.82864922E-02
 0.25277398E+02   0.82968235E-02
 0.25505736E+02   0.83071547E-02
 0.25734074E+02   0.83435210E-02
 0.25962412E+02   0.83847866E-02
 0.26190750E+02   0.84260522E-02
